Input File: e:\srs017.78d
Measure Group: Swept Sine
Measurement: Lin Spec 2
Num of extracted Points: 80
Start Freq.: 10 Hz
Stop  Freq.: 1 kHz
Sweep Type: Linear
Auto Level: Off
Amplitude: 1000.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   500 ms
Settle Cycles:   10
Integration Time:   1 s
Integration Cycles:  100

    X[Hz]        Mag[dBVpk]   
  1.000000e+01  -9.098250e+01 
  2.253164e+01  -8.277700e+01 
  3.506329e+01  -8.224511e+01 
  4.759494e+01  -9.021149e+01 
  6.012658e+01  -8.985309e+01 
  7.265823e+01  -4.596479e+01 
  8.518987e+01  -8.065717e+01 
  9.772152e+01  -8.114005e+01 
  1.102532e+02  -8.094788e+01 
  1.227848e+02  -8.168096e+01 
  1.353165e+02  -8.419242e+01 
  1.478481e+02  -7.980662e+01 
  1.603797e+02  -8.007796e+01 
  1.729114e+02  -8.133479e+01 
  1.854430e+02  -8.159293e+01 
  1.979747e+02  -8.154358e+01 
  2.105063e+02  -8.163320e+01 
  2.230380e+02  -8.168378e+01 
  2.355696e+02  -8.167584e+01 
  2.481013e+02  -8.220278e+01 
  2.606329e+02  -8.173359e+01 
  2.731646e+02  -8.185683e+01 
  2.856962e+02  -8.174507e+01 
  2.982278e+02  -8.151798e+01 
  3.107595e+02  -8.067745e+01 
  3.232911e+02  -7.577757e+01 
  3.358228e+02  -8.564993e+01 
  3.483544e+02  -7.426843e+01 
  3.608861e+02  -8.001631e+01 
  3.734177e+02  -8.246440e+01 
  3.859494e+02  -8.396312e+01 
  3.984810e+02  -7.751668e+01 
  4.110127e+02  -7.552020e+01 
  4.235443e+02  -8.859660e+01 
  4.360760e+02  -8.441211e+01 
  4.486076e+02  -8.392178e+01 
  4.611393e+02  -8.374897e+01 
  4.736709e+02  -8.367784e+01 
  4.862025e+02  -8.371166e+01 
  4.987342e+02  -8.374984e+01 
  5.112658e+02  -8.375900e+01 
  5.237975e+02  -8.385978e+01 
  5.363291e+02  -8.388677e+01 
  5.488608e+02  -8.393710e+01 
  5.613924e+02  -8.402589e+01 
  5.739241e+02  -8.401177e+01 
  5.864557e+02  -8.346088e+01 
  5.989874e+02  -8.418355e+01 
  6.115190e+02  -8.430471e+01 
  6.240507e+02  -8.434855e+01 
  6.365823e+02  -8.448917e+01 
  6.491140e+02  -8.288921e+01 
  6.616456e+02  -8.427767e+01 
  6.741772e+02  -8.449294e+01 
  6.867089e+02  -8.566473e+01 
  6.992405e+02  -8.415637e+01 
  7.117722e+02  -8.712821e+01 
  7.243038e+02  -8.496207e+01 
  7.368354e+02  -8.470728e+01 
  7.493671e+02  -8.433497e+01 
  7.618987e+02  -8.476992e+01 
  7.744304e+02  -8.481349e+01 
  7.869620e+02  -8.488674e+01 
  7.994937e+02  -8.489714e+01 
  8.120253e+02  -8.495047e+01 
  8.245569e+02  -8.497643e+01 
  8.370886e+02  -8.499641e+01 
  8.496202e+02  -8.486777e+01 
  8.621519e+02  -8.508427e+01 
  8.746835e+02  -8.512881e+01 
  8.872152e+02  -8.516905e+01 
  8.997468e+02  -8.509706e+01 
  9.122785e+02  -8.512639e+01 
  9.248101e+02  -8.510400e+01 
  9.373418e+02  -8.488908e+01 
  9.498734e+02  -8.514011e+01 
  9.624051e+02  -8.369482e+01 
  9.749367e+02  -9.157937e+01 
  9.874684e+02  -9.374167e+01 
  1.000000e+03  -8.472392e+01 
