Input File: e:\srs018.78d
Measure Group: Swept Sine
Measurement: Lin Spec 2
Num of extracted Points: 80
Start Freq.: 10 Hz
Stop  Freq.: 150 Hz
Sweep Type: Linear
Auto Level: Off
Amplitude: 1000.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   500 ms
Settle Cycles:   10
Integration Time:   1 s
Integration Cycles:  100

    X[Hz]        Mag[dBVpk]   
  1.000000e+01  -9.108067e+01 
  1.177215e+01  -8.947757e+01 
  1.354430e+01  -8.786316e+01 
  1.531646e+01  -8.030270e+01 
  1.708861e+01  -8.974390e+01 
  1.886076e+01  -8.509211e+01 
  2.063291e+01  -8.386309e+01 
  2.240506e+01  -8.266268e+01 
  2.417722e+01  -8.118057e+01 
  2.594937e+01  -7.934527e+01 
  2.772152e+01  -7.678011e+01 
  2.949367e+01  -7.225685e+01 
  3.126582e+01  -5.209864e+01 
  3.303798e+01  -7.250859e+01 
  3.481013e+01  -8.153759e+01 
  3.658228e+01  -8.730603e+01 
  3.835443e+01  -8.968286e+01 
  4.012658e+01  -9.646086e+01 
  4.189874e+01  -9.521881e+01 
  4.367089e+01  -9.329070e+01 
  4.544304e+01  -9.226005e+01 
  4.721519e+01  -9.160593e+01 
  4.898734e+01  -9.063634e+01 
  5.075949e+01  -9.182508e+01 
  5.253165e+01  -8.994617e+01 
  5.430380e+01  -8.951201e+01 
  5.607595e+01  -8.960489e+01 
  5.784810e+01  -8.949201e+01 
  5.962025e+01  -8.989891e+01 
  6.139241e+01  -9.049035e+01 
  6.316456e+01  -9.129952e+01 
  6.493671e+01  -9.026241e+01 
  6.670886e+01  -9.110831e+01 
  6.848101e+01  -8.732971e+01 
  7.025317e+01  -7.966142e+01 
  7.202531e+01  -6.165339e+01 
  7.379747e+01  -6.795213e+01 
  7.556962e+01  -7.455016e+01 
  7.734177e+01  -7.701747e+01 
  7.911392e+01  -7.825436e+01 
  8.088608e+01  -7.902306e+01 
  8.265823e+01  -7.965099e+01 
  8.443038e+01  -7.996520e+01 
  8.620253e+01  -8.019981e+01 
  8.797469e+01  -8.036266e+01 
  8.974683e+01  -8.071370e+01 
  9.151899e+01  -8.079098e+01 
  9.329114e+01  -8.087985e+01 
  9.506329e+01  -8.097400e+01 
  9.683544e+01  -8.110693e+01 
  9.860760e+01  -8.115102e+01 
  1.003797e+02  -8.125156e+01 
  1.021519e+02  -8.134782e+01 
  1.039240e+02  -8.152435e+01 
  1.056962e+02  -8.176702e+01 
  1.074684e+02  -8.674270e+01 
  1.092405e+02  -8.114790e+01 
  1.110127e+02  -8.120860e+01 
  1.127848e+02  -8.119802e+01 
  1.145570e+02  -8.132408e+01 
  1.163291e+02  -8.136798e+01 
  1.181013e+02  -8.151835e+01 
  1.198734e+02  -8.151646e+01 
  1.216456e+02  -8.160754e+01 
  1.234177e+02  -8.168454e+01 
  1.251899e+02  -8.166682e+01 
  1.269620e+02  -8.187512e+01 
  1.287342e+02  -8.196661e+01 
  1.305063e+02  -8.211398e+01 
  1.322785e+02  -8.261833e+01 
  1.340506e+02  -8.301536e+01 
  1.358228e+02  -8.404458e+01 
  1.375949e+02  -8.746906e+01 
  1.393671e+02  -6.712256e+01 
  1.411392e+02  -8.704114e+01 
  1.429114e+02  -7.996355e+01 
  1.446835e+02  -7.932214e+01 
  1.464557e+02  -7.917783e+01 
  1.482278e+02  -8.051135e+01 
  1.500000e+02  -7.730334e+01 
