Input File: e:\srs013.78d
Measure Group: Swept Sine
Measurement: Lin Spec 2
Num of extracted Points: 80
Start Freq.: 130 Hz
Stop  Freq.: 350 Hz
Sweep Type: Linear
Auto Level: Off
Amplitude: 1000.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   500 ms
Settle Cycles:   10
Integration Time:   1 s
Integration Cycles:  100

    X[Hz]        Mag[dBVpk]   
  1.300000e+02  -8.056200e+01 
  1.327848e+02  -8.051100e+01 
  1.355696e+02  -8.036819e+01 
  1.383544e+02  -8.189289e+01 
  1.411392e+02  -8.121917e+01 
  1.439241e+02  -8.102197e+01 
  1.467089e+02  -8.132103e+01 
  1.494937e+02  -7.918553e+01 
  1.522785e+02  -8.093397e+01 
  1.550633e+02  -8.114104e+01 
  1.578481e+02  -8.109005e+01 
  1.606329e+02  -8.087401e+01 
  1.634177e+02  -8.117257e+01 
  1.662025e+02  -8.103959e+01 
  1.689873e+02  -8.169499e+01 
  1.717722e+02  -8.124361e+01 
  1.745570e+02  -8.127274e+01 
  1.773418e+02  -8.125742e+01 
  1.801266e+02  -8.129755e+01 
  1.829114e+02  -8.132828e+01 
  1.856962e+02  -8.140549e+01 
  1.884810e+02  -8.133753e+01 
  1.912658e+02  -8.149140e+01 
  1.940506e+02  -8.135368e+01 
  1.968354e+02  -8.140857e+01 
  1.996203e+02  -8.135538e+01 
  2.024051e+02  -8.171492e+01 
  2.051899e+02  -8.151591e+01 
  2.079747e+02  -8.140670e+01 
  2.107595e+02  -8.151974e+01 
  2.135443e+02  -8.146776e+01 
  2.163291e+02  -8.155477e+01 
  2.191139e+02  -8.157835e+01 
  2.218987e+02  -8.157020e+01 
  2.246835e+02  -8.165203e+01 
  2.274684e+02  -8.166917e+01 
  2.302532e+02  -8.160122e+01 
  2.330380e+02  -8.163605e+01 
  2.358228e+02  -8.171277e+01 
  2.386076e+02  -8.171758e+01 
  2.413924e+02  -8.170196e+01 
  2.441772e+02  -8.170156e+01 
  2.469620e+02  -8.159750e+01 
  2.497468e+02  -8.346573e+01 
  2.525316e+02  -8.159430e+01 
  2.553165e+02  -8.180682e+01 
  2.581013e+02  -8.174300e+01 
  2.608861e+02  -8.175407e+01 
  2.636709e+02  -8.164865e+01 
  2.664557e+02  -8.177176e+01 
  2.692405e+02  -8.171017e+01 
  2.720253e+02  -8.169390e+01 
  2.748101e+02  -8.164661e+01 
  2.775949e+02  -8.168201e+01 
  2.803798e+02  -8.163462e+01 
  2.831646e+02  -8.154813e+01 
  2.859494e+02  -8.154864e+01 
  2.887342e+02  -8.146351e+01 
  2.915190e+02  -8.134746e+01 
  2.943038e+02  -8.123074e+01 
  2.970886e+02  -8.105905e+01 
  2.998734e+02  -8.079914e+01 
  3.026582e+02  -8.050515e+01 
  3.054430e+02  -7.998736e+01 
  3.082278e+02  -7.941580e+01 
  3.110127e+02  -7.829708e+01 
  3.137975e+02  -7.623957e+01 
  3.165823e+02  -7.104705e+01 
  3.193671e+02  -5.459907e+01 
  3.221519e+02  -7.776241e+01 
  3.249367e+02  -8.141757e+01 
  3.277215e+02  -8.152647e+01 
  3.305063e+02  -7.572726e+01 
  3.332911e+02  -7.374268e+01 
  3.360760e+02  -8.027444e+01 
  3.388607e+02  -8.251946e+01 
  3.416456e+02  -8.353873e+01 
  3.444304e+02  -8.443971e+01 
  3.472152e+02  -8.532523e+01 
  3.500000e+02  -8.618624e+01 
