Input File: e:\srs011.78d
Measure Group: Swept Sine
Measurement: Lin Spec 2
Num of extracted Points: 80
Start Freq.: 350 Hz
Stop  Freq.: 1 kHz
Sweep Type: Linear
Auto Level: Off
Amplitude: 1000.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   500 ms
Settle Cycles:   10
Integration Time:   1 s
Integration Cycles:  100

    X[Hz]        Mag[dBVpk]   
  3.500000e+02  -8.546812e+01 
  3.582278e+02  -8.377291e+01 
  3.664557e+02  -8.608383e+01 
  3.746835e+02  -7.322466e+01 
  3.829114e+02  -7.929095e+01 
  3.911393e+02  -8.166763e+01 
  3.993671e+02  -6.566325e+01 
  4.075949e+02  -7.761919e+01 
  4.158228e+02  -8.205366e+01 
  4.240506e+02  -8.527833e+01 
  4.322785e+02  -8.418101e+01 
  4.405063e+02  -8.385473e+01 
  4.487342e+02  -8.372246e+01 
  4.569620e+02  -8.366843e+01 
  4.651899e+02  -8.357265e+01 
  4.734177e+02  -8.365416e+01 
  4.816456e+02  -8.384500e+01 
  4.898734e+02  -8.370043e+01 
  4.981013e+02  -8.372000e+01 
  5.063291e+02  -8.376231e+01 
  5.145569e+02  -8.380141e+01 
  5.227848e+02  -8.384157e+01 
  5.310126e+02  -8.387792e+01 
  5.392405e+02  -8.390277e+01 
  5.474684e+02  -8.397247e+01 
  5.556962e+02  -8.400460e+01 
  5.639241e+02  -8.404089e+01 
  5.721519e+02  -8.406963e+01 
  5.803798e+02  -8.410902e+01 
  5.886076e+02  -8.415480e+01 
  5.968354e+02  -8.419365e+01 
  6.050633e+02  -8.424457e+01 
  6.132911e+02  -8.428025e+01 
  6.215190e+02  -8.435741e+01 
  6.297468e+02  -8.444953e+01 
  6.379747e+02  -8.723097e+01 
  6.462025e+02  -8.431811e+01 
  6.544304e+02  -8.418934e+01 
  6.626582e+02  -8.446799e+01 
  6.708860e+02  -8.309974e+01 
  6.791140e+02  -8.429466e+01 
  6.873418e+02  -8.433535e+01 
  6.955696e+02  -8.441286e+01 
  7.037975e+02  -8.428871e+01 
  7.120253e+02  -8.526323e+01 
  7.202532e+02  -8.551696e+01 
  7.284810e+02  -8.468289e+01 
  7.367089e+02  -8.471961e+01 
  7.449367e+02  -8.475182e+01 
  7.531646e+02  -8.474486e+01 
  7.613924e+02  -8.477309e+01 
  7.696202e+02  -8.481656e+01 
  7.778481e+02  -8.483323e+01 
  7.860759e+02  -8.485904e+01 
  7.943038e+02  -8.488570e+01 
  8.025316e+02  -8.489700e+01 
  8.107595e+02  -8.493312e+01 
  8.189874e+02  -8.496532e+01 
  8.272152e+02  -8.498858e+01 
  8.354431e+02  -8.501419e+01 
  8.436709e+02  -8.504539e+01 
  8.518987e+02  -8.506251e+01 
  8.601266e+02  -8.508640e+01 
  8.683544e+02  -8.511451e+01 
  8.765823e+02  -8.513939e+01 
  8.848101e+02  -8.516289e+01 
  8.930380e+02  -8.519151e+01 
  9.012658e+02  -8.519262e+01 
  9.094937e+02  -8.517017e+01 
  9.177215e+02  -8.509425e+01 
  9.259493e+02  -8.503943e+01 
  9.341772e+02  -8.489869e+01 
  9.424051e+02  -8.453915e+01 
  9.506329e+02  -8.293074e+01 
  9.588608e+02  -8.787508e+01 
  9.670886e+02  -9.155032e+01 
  9.753165e+02  -8.014091e+01 
  9.835443e+02  -8.516949e+01 
  9.917722e+02  -8.758579e+01 
  1.000000e+03  -8.383555e+01 
