Input File: e:\srs016.78d
Measure Group: Swept Sine
Measurement: Lin Spec 2
Num of extracted Points: 80
Start Freq.: 900 Hz
Stop  Freq.: 1.2 kHz
Sweep Type: Linear
Auto Level: Off
Amplitude: 1000.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   500 ms
Settle Cycles:   10
Integration Time:   1 s
Integration Cycles:  100

    X[Hz]        Mag[dBVpk]   
  9.000000e+02  -8.518983e+01 
  9.037975e+02  -8.517126e+01 
  9.075949e+02  -8.514329e+01 
  9.113924e+02  -8.514139e+01 
  9.151899e+02  -8.509317e+01 
  9.189874e+02  -8.507720e+01 
  9.227848e+02  -8.503056e+01 
  9.265823e+02  -8.500497e+01 
  9.303798e+02  -8.493587e+01 
  9.341772e+02  -8.487273e+01 
  9.379747e+02  -8.472552e+01 
  9.417722e+02  -8.449502e+01 
  9.455696e+02  -8.402294e+01 
  9.493671e+02  -8.281961e+01 
  9.531646e+02  -7.895433e+01 
  9.569620e+02  -8.444615e+01 
  9.607595e+02  -9.155513e+01 
  9.645569e+02  -9.130535e+01 
  9.683544e+02  -9.291981e+01 
  9.721519e+02  -7.790482e+01 
  9.759493e+02  -8.147674e+01 
  9.797468e+02  -8.421434e+01 
  9.835443e+02  -8.516754e+01 
  9.873418e+02  -8.598213e+01 
  9.911392e+02  -8.742758e+01 
  9.949367e+02  -7.879051e+01 
  9.987342e+02  -8.391045e+01 
  1.002532e+03  -8.443763e+01 
  1.006329e+03  -8.495000e+01 
  1.010127e+03  -8.539436e+01 
  1.013924e+03  -8.607098e+01 
  1.017721e+03  -9.008885e+01 
  1.021519e+03  -8.191857e+01 
  1.025316e+03  -8.348703e+01 
  1.029114e+03  -8.370599e+01 
  1.032911e+03  -8.352975e+01 
  1.036709e+03  -8.321922e+01 
  1.040506e+03  -8.553838e+01 
  1.044304e+03  -8.343071e+01 
  1.048101e+03  -8.008549e+01 
  1.051899e+03  -9.014850e+01 
  1.055696e+03  -8.778607e+01 
  1.059494e+03  -8.673286e+01 
  1.063291e+03  -8.634430e+01 
  1.067089e+03  -8.614294e+01 
  1.070886e+03  -8.601355e+01 
  1.074684e+03  -8.593599e+01 
  1.078481e+03  -8.587743e+01 
  1.082278e+03  -8.584205e+01 
  1.086076e+03  -8.582462e+01 
  1.089873e+03  -8.580361e+01 
  1.093671e+03  -8.578914e+01 
  1.097468e+03  -8.577869e+01 
  1.101266e+03  -8.577722e+01 
  1.105063e+03  -8.576685e+01 
  1.108861e+03  -8.576841e+01 
  1.112658e+03  -8.576275e+01 
  1.116456e+03  -8.576373e+01 
  1.120253e+03  -8.577251e+01 
  1.124051e+03  -8.577106e+01 
  1.127848e+03  -8.576712e+01 
  1.131646e+03  -8.576669e+01 
  1.135443e+03  -8.577534e+01 
  1.139240e+03  -8.577562e+01 
  1.143038e+03  -8.578114e+01 
  1.146835e+03  -8.578090e+01 
  1.150633e+03  -8.566289e+01 
  1.154430e+03  -8.580287e+01 
  1.158228e+03  -8.580633e+01 
  1.162025e+03  -8.580244e+01 
  1.165823e+03  -8.581638e+01 
  1.169620e+03  -8.581840e+01 
  1.173418e+03  -8.581893e+01 
  1.177215e+03  -8.582299e+01 
  1.181013e+03  -8.584225e+01 
  1.184810e+03  -8.583893e+01 
  1.188608e+03  -8.585048e+01 
  1.192405e+03  -8.585160e+01 
  1.196203e+03  -8.586330e+01 
  1.200000e+03  -8.586774e+01 
