Input File: e:\srs005.78d
Measure Group: Swept Sine
Measurement: Lin Spec 2
Num of extracted Points: 80
Start Freq.: 10 Hz
Stop  Freq.: 40 Hz
Sweep Type: Linear
Auto Level: Off
Amplitude: 1000.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   500 ms
Settle Cycles:   10
Integration Time:   1 s
Integration Cycles:  100

    X[Hz]        Mag[dBVpk]   
  1.000000e+01  -9.047055e+01 
  1.037975e+01  -8.995166e+01 
  1.075949e+01  -8.979781e+01 
  1.113924e+01  -9.038702e+01 
  1.151899e+01  -8.951682e+01 
  1.189873e+01  -8.928793e+01 
  1.227848e+01  -8.875707e+01 
  1.265823e+01  -8.868249e+01 
  1.303797e+01  -8.862526e+01 
  1.341772e+01  -8.795125e+01 
  1.379747e+01  -8.720847e+01 
  1.417722e+01  -8.835249e+01 
  1.455696e+01  -8.824246e+01 
  1.493671e+01  -8.691142e+01 
  1.531646e+01  -8.892117e+01 
  1.569620e+01  -8.952578e+01 
  1.607595e+01  -8.720802e+01 
  1.645570e+01  -8.702276e+01 
  1.683544e+01  -8.637349e+01 
  1.721519e+01  -8.626514e+01 
  1.759494e+01  -8.606265e+01 
  1.797468e+01  -8.553159e+01 
  1.835443e+01  -8.521636e+01 
  1.873418e+01  -8.570151e+01 
  1.911392e+01  -8.481030e+01 
  1.949367e+01  -8.492712e+01 
  1.987342e+01  -8.441629e+01 
  2.025316e+01  -8.415901e+01 
  2.063291e+01  -8.379341e+01 
  2.101266e+01  -8.357786e+01 
  2.139240e+01  -8.339189e+01 
  2.177215e+01  -8.284428e+01 
  2.215190e+01  -8.260437e+01 
  2.253164e+01  -8.237589e+01 
  2.291139e+01  -8.225307e+01 
  2.329114e+01  -8.198026e+01 
  2.367089e+01  -8.135238e+01 
  2.405063e+01  -8.122336e+01 
  2.443038e+01  -8.089466e+01 
  2.481013e+01  -8.005615e+01 
  2.518987e+01  -7.982304e+01 
  2.556962e+01  -7.917065e+01 
  2.594937e+01  -7.882143e+01 
  2.632911e+01  -7.854937e+01 
  2.670886e+01  -7.795428e+01 
  2.708861e+01  -7.733080e+01 
  2.746836e+01  -7.660718e+01 
  2.784810e+01  -7.586566e+01 
  2.822785e+01  -7.475730e+01 
  2.860760e+01  -7.370920e+01 
  2.898734e+01  -7.214326e+01 
  2.936709e+01  -7.017582e+01 
  2.974684e+01  -6.757906e+01 
  3.012658e+01  -6.241741e+01 
  3.050633e+01  -5.605167e+01 
  3.088608e+01  -5.869935e+01 
  3.126582e+01  -6.511337e+01 
  3.164557e+01  -6.858742e+01 
  3.202532e+01  -7.161150e+01 
  3.240506e+01  -7.398378e+01 
  3.278481e+01  -7.626396e+01 
  3.316456e+01  -7.870467e+01 
  3.354430e+01  -8.008383e+01 
  3.392405e+01  -8.175683e+01 
  3.430380e+01  -8.305848e+01 
  3.468354e+01  -8.474928e+01 
  3.506329e+01  -8.675478e+01 
  3.544304e+01  -7.346011e+01 
  3.582278e+01  -6.556956e+01 
  3.620253e+01  -9.172445e+01 
  3.658228e+01  -9.046210e+01 
  3.696202e+01  -9.252239e+01 
  3.734177e+01  -9.059984e+01 
  3.772152e+01  -9.551249e+01 
  3.810126e+01  -9.349180e+01 
  3.848101e+01  -9.651933e+01 
  3.886076e+01  -9.540739e+01 
  3.924051e+01  -9.398703e+01 
  3.962025e+01  -9.562545e+01 
  4.000000e+01  -9.606989e+01 
